1,잠 1,열린책들,"꿈을 제어할 수 있거나 꿈을 통해 과거로 갈 수 있다면? 20년 전으로 돌아가 젊었을 적의 자신을 꿈에서 다시 만날 수 있다고 상상해 보세요. 꿈속의 당신에게 말을 걸 수 있다고 상상해 보세요. 무슨 말을 하시겠어요? 주인공은 자크 클라인, 28세의 의대생이다. 자크 클라인의 아버지는 항해사로, 자크가 열한 살 때 항해 중에 목숨을 잃었다. 자크의 어머니 카롤린은 유명 신경 생리학자로, 수면을 연구하는 의사다. 카롤린은 아들 자크가 어렸을 때부터 꿈을 통제하는 법을 가르쳤고, 역설수면이라고 불리는 수면의 다섯 번째 단계에서 자신만의 꿈 세계인 상상의 분홍 모래섬을 만들어 들어갈 수 있도록 도왔다."
2,언어의 온도,말글터,"언어에는 나름의 온도가 있다고 생각하는 저자가 일상에서 발견한 의미 있는 말과 글을 한 권의 책에 담았다. 저자는 단어의 어원과 유래, 그런 언어가 지닌 차가움과 따뜻함을 글감 삼아, 하찮아 보이는 것들의 소중함을 예찬한다. 페이지를 넘길 때마다 문장과 문장에 호흡을 불어넣으며 뜨거운 음식을 먹듯 찬찬히 곱씹어 읽다 보면, 독자 스스로 각자의 ‘언어 온도’를 되짚어볼 수 있을지 모른다."
3,잠 2,열린책들,"꿈을 제어할 수 있거나 꿈을 통해 과거로 갈 수 있다면? 20년 전으로 돌아가 젊었을 적의 자신을 꿈에서 다시 만날 수 있다고 상상해 보세요. 꿈속의 당신에게 말을 걸 수 있다고 상상해 보세요. 무슨 말을 하시겠어요? 주인공은 자크 클라인, 28세의 의대생이다. 자크 클라인의 아버지는 항해사로, 자크가 열한 살 때 항해 중에 목숨을 잃었다. 자크의 어머니 카롤린은 유명 신경 생리학자로, 수면을 연구하는 의사다. 카롤린은 아들 자크가 어렸을 때부터 꿈을 통제하는 법을 가르쳤고, 역설수면이라고 불리는 수면의 다섯 번째 단계에서 자신만의 꿈 세계인 상상의 분홍 모래섬을 만들어 들어갈 수 있도록 도왔다."
4,82년생 김지영,민음사,"공포, 피로, 당황, 놀람, 혼란, 좌절의 연속에 대한 한국 여자의 인생 현장 보고서! 문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품 『82년생 김지영』. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로 표현하는 데 재능을 보이는 작가 조남주는 이번 작품에서 1982년생 '김지영 씨'의 기억을 바탕으로 한 고백을 한 축으로, 고백을 뒷받침하는 각종 통계자료와 기사들을 또 다른 축으로 삼아 30대를 살고 있는 한국 여성들의 보편적인 일상을 완벽하게 재현한다. 슬하에 딸을 두고 있는 서른네 살 김지영 씨가 어느 날 갑자기 이상 증세를 보인다. 시댁 식구들이 모여 있는 자리에서 친정 엄마로 빙의해 속말을 뱉어 내고, 남편의 결혼 전 애인으로 빙의해 그를 식겁하게 만들기도 한다."
5,오직 두 사람,문학동네,"우리는 모두 잃으며 살아간다. 여기, 한 번도 살아보지 않은 ‘그 이후’의 삶이 있다. 김유정문학상 수상작 「아이를 찾습니다」 이상문학상 수상작 「옥수수와 나」 수록 기대했던 것과는 전혀 다른 것이 결승점에서 우리를 기다리고 있을 때, 그것은 누구의 잘못일까? 작가 김영하의 신작 소설집. 『무슨 일이 일어났는지는 아무도』 이후 7년 만이다. 김유정문학상 수상작 「아이를 찾습니다」, 이상문학상 수상작 「옥수수와 나」를 포함해 일곱 편의 단편이 실렸다. 지적인 즐거움과 인간에 대한 통찰을 한껏 맛볼 수 있는 작품들. 편편이 성찰적이며 감각적이다. 엉뚱한 소설적 상상력이 빛나는 작품과, 인생을 압축적으로 보여주면서 아이러니가 빛나는 작품, 현실 밀착적인 정공법을 쓴 작품 등을 통해 한 인간 내면의 복합적인 감정부터 다종다양한 관계의 모순, 더 나아가 소위 ‘신의 旅이라 비유되는 알 수 없는 상황에 처한 인간의 고뇌까지 담아낸다."
6,좀비고등학교 코믹스 1,겜툰,"800만 다운로드를 돌파한 청소년이 가장 사랑하는 게임, 좀비고등학교가 코믹스로 탄생! 평범한 초등학생인 한가람은 오랜만에 학원에서 벗어나 시골집에 놀러 가는데, 평소 좋아하는 게임과 비슷한 폐교에 들어갔다가 알 수 없는 무언가에 쫓기며 기절한다. 곧 자신의 이름을 부르는 소리에 깨어나며 게임과 같은 배경에 꿈이라고 믿는 것도 잠시, 현실임을 깨달으며 게임의 주인공이 되어 새로운 엔딩을 향해 고군분투를 시작하는데......"
7,말의 품격,황소북스,"입소문이 만든 베스트셀러『언어의 온도』작가 신작! 말과 사람과 품격에 대한 생각들을 적은 인문 에세이 이 책은『언어의 온도』로 많은 독자의 사랑을 받고 있는 이기주 작가의 신작 에세이집이다. 경청, 공감, 반응, 뒷말, 인향, 소음 등 24개의 키워드를 통해 말과 사람과 품격에 대한 생각들을 풀어낸다. 고전과 현대를 오가는 인문학적 소양을 바탕으로 이기주 작가 특유의 감성이 더해 볼거리와 생각할 거리를 동시에 전한다. 말을 소재로 삼은 까닭에 남녀노소 구분 없이 읽을 수 있는 교양서이자 필독서이기도 하다. 지금 우리는 ‘말의 힘’이 세상을 지배하는 시대에 살고 있다. 온당한 말 한마디가 천 냥 빚만 갚는 게 아니라 사람의 인생을, 나아가 조직과 공동체의 명운을 바꿔놓기도 한다. 말하기가 개인의 경쟁력을 평가하는 잣대가 된 지도 오래다. 말 잘하는 사람을 매력 있는 사람으로 간주하는 풍토는 갈수록 확산하고 있다."
8,영초언니,문학동네,"“그때 우리는 두려움 속에서 비틀거리며 불의한 권력과 맞장떴다!” 내 청춘을 관통한, 지워지지 않는 이름… 천영초 [시사저널][오마이뉴스] 편집장을 지낸 언론인이자, 대한민국에 제주 올레길 열풍을 일으킨 서명숙 제주올레 이사장이 오랫동안 묻어두었던 이야기를 꺼낸다. 1970년대 말, 한반도의 끝자락 제주에서 서울로 올라와 대학생활을 하던 여대생 서명숙은 돌연 감옥에 갇힌다. ‘천영초’라는 여인과 함께. 이 책은 박정희 유신정권 시절, 저자뿐만 아니라 당시 긴급조치 세대 대학생들에게 큰 영향을 미친 실존인물 ‘천영초’에 대한 기록이다. 영초언니는 서명숙에게 “담배를 처음 소개해준 ‘나쁜 언니’였고, 이 사회의 모순에 눈뜨게 해준 ‘사회적 스승’이었고, 행동하는 양심이 어떤 것인가를 몸소 보여준 ‘지식인의 모델’”이었다."
9,세계사 편력 1,일빛,아버지 네루가 13세 딸인 인디라 간디에게 보낸 편지글을 엮은 책. 영국으로부터의 독립투쟁을 하다가 여섯 차례나 투옥되었던 네루는 약소민족도 세계사에서 동등하게 존중받아야 된다고 확신하면서 딸에게 세계사 편지를 쓰기 시작하여 3년 동안 총 196편의 옥중 편지를 보냈다. 이 편지글들은 우선 세계 역사를 서구 중심의 편협한 시각에서 벗어나 균형 잡힌 세계관과 역사관을 갖도록 안내한다. 뿐만 아니라 딸에게 지도자의 길이 무엇인지 자상하게 설명하여 역사의 올바른 리더십을 키우도록 북돋아준다. 사회지도층의 도덕적 의무...
10,호모 데우스,김영사,"“호모 데우스, 이것이 진화의 다음 단계다!” 정치, 종교, 문화 모든 구시대적 신화와 인공지능, 유전공학의 새로운 신이 만나 펼쳐낼 최후의 서사시 전 세계 45개국, 500만 부 초대형 베스트셀러 [사피엔스] 유발 하라리 최신작! [호모 데우스] 5월 1일 마침내 예약판매 시작! [사피엔스]는 우리가 어디에서 왔는지 알려주고, [호모 데우스]는 우리가 어디로 가는지 알려준다. 미국, 영국, 프랑스, 독일, 중국, 일본 등 40개국 출간 확정! 역사의 시간 동안 인류의 가장 큰 과제이던 굶주림, 질병 그리고 전쟁을 밀어내고 그 자리를 차지한 것은 무엇인가? 지구를 평정하고 신이 된 인간은 어떤 운명을 만들 것인가? 인류는 어디에서 와서 어디로 갈 것인가? 100년 뒤 세상은 어떤 모습이고, 앞을 향해 치닫는 과학혁명의 정점은 어디인가. 인간이 만들어갈 유토피아 혹은 악몽에 대한 논쟁적 서사. 인간은 진화를 거듭할 것인가, 쓸모없는 존재가 될 것인가."
